jurisdiction,state_code,vertical,typical_format,public_granularity,recommended_wave,official_landing_url,source_checked_at_utc,reporting_frequency,available_history,channel_coverage,collection_status,status_note,next_action,coverage_database,research_evidence,staged_rows,staged_periods
Alaska,AK,online_sports_betting,none identified,unknown,99,https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/FinancialManagement/Gaming.aspx?lv=true,2026-09-05,none identified,none identified,unknown,no_public_series_found,The state gaming guide covers charitable gaming. Its direct download returned HTTP 403; indexed official guidance and the DOR overview did not identify a public online-revenue series. Current launch status is not established by this check.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/FinancialManagement/Gaming.aspx?lv=true [403 Client Error: Forbidden for url: https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/FinancialManagement/Gaming.aspx?lv=true],0,0
Alaska,AK,online_casino,none identified,unknown,99,https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/FinancialManagement/Gaming.aspx?lv=true,2026-09-05,none identified,none identified,unknown,no_public_series_found,The state gaming guide covers charitable gaming. Its direct download returned HTTP 403; indexed official guidance and the DOR overview did not identify a public online-revenue series. Current launch status is not established by this check.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/FinancialManagement/Gaming.aspx?lv=true [403 Client Error: Forbidden for url: https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/FinancialManagement/Gaming.aspx?lv=true],0,0
Alabama,AL,online_sports_betting,none identified,unknown,99,https://alison.legislature.state.al.us/code-of-alabama?section=13A-12-21,2026-09-05,none identified,none identified,unknown,no_public_series_found,"Reviewed the current official gambling-code entry and source search; no official online sports/casino revenue archive identified. This is a source finding, not a new legal determination.",Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://alison.legislature.state.al.us/code-of-alabama?section=13A-12-21 [200],0,0
Alabama,AL,online_casino,none identified,unknown,99,https://alison.legislature.state.al.us/code-of-alabama?section=13A-12-21,2026-09-05,none identified,none identified,unknown,no_public_series_found,"Reviewed the current official gambling-code entry and source search; no official online sports/casino revenue archive identified. This is a source finding, not a new legal determination.",Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://alison.legislature.state.al.us/code-of-alabama?section=13A-12-21 [200],0,0
Arkansas,AR,online_sports_betting,PDF,limited/combined,5,https://www.dfa.arkansas.gov/office/taxes/field-audit-administration/casino-gaming-section/,2026-09-05,none identified,none identified,online series not located,no_public_series_found,"Checked DFA Casino Gaming Section, FAQ, tax descriptions and site report search. Public tax collections are combined casino receipts; no downloadable mobile activity archive found. Mobile reports are known to be reported to DFA; absence from these pages is not proof they do not exist.",Obtain the DFA monthly mobile activity report or its public archive URL; do not treat aggregate casino taxes as online GGR.,data/staging/gaming_nationwide.sqlite,https://www.dfa.arkansas.gov/office/taxes/excise-tax-administration/miscellaneous-tax/miscellaneous-tax-descriptions/ [200] | https://www.dfa.arkansas.gov/office/taxes/field-audit-administration/casino-gaming-section/ [200] | https://www.dfa.arkansas.gov/office/arkansas-racing-commission/ [404] | https://www.dfa.arkansas.gov/?s=casino+gaming+reports [200],0,0
Arkansas,AR,online_casino,none identified,unknown,99,https://www.dfa.arkansas.gov/office/taxes/field-audit-administration/casino-gaming-section/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.dfa.arkansas.gov/office/taxes/excise-tax-administration/miscellaneous-tax/miscellaneous-tax-descriptions/ [200] | https://www.dfa.arkansas.gov/office/taxes/field-audit-administration/casino-gaming-section/ [200] | https://www.dfa.arkansas.gov/office/arkansas-racing-commission/ [404] | https://www.dfa.arkansas.gov/?s=casino+gaming+reports [200],0,0
Arizona,AZ,online_sports_betting,PDF,operator and statewide,3,https://gaming.az.gov/resources/reports,2026-09-05,monthly,Landing lists monthly reports; row-level history not validated,mobile separate from retail,access_blocked,"Landing returned 200, but June/May 2026 and December 2025 event-wagering PDF downloads returned HTTP 403. No PDF bytes available for a validated parser. Native adjusted columns must not be relabeled GGR.","Save an official report manually if accessible, then inspect and implement its mobile columns before staging. Keep TLS/access controls intact.",data/staging/gaming_nationwide.sqlite,https://gaming.az.gov/resources/reports [200] | https://gaming.az.gov/sites/default/files/EW%20Website%20Report-December%202025%20UNAUDITED.pdf [403],0,0
Arizona,AZ,online_casino,none identified,unknown,99,https://gaming.az.gov/resources/reports,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://gaming.az.gov/resources/reports [200] | https://gaming.az.gov/sites/default/files/EW%20Website%20Report-December%202025%20UNAUDITED.pdf [403],0,0
California,CA,online_sports_betting,none identified,unknown,99,https://oag.ca.gov/gambling/advisories,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed DOJ gambling oversight and illegal-internet-gambling advisories plus official sports-wagering material; no state online sports/casino revenue series found.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://oag.ca.gov/gambling/advisories [200],0,0
California,CA,online_casino,none identified,unknown,99,https://oag.ca.gov/gambling/advisories,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed DOJ gambling oversight and illegal-internet-gambling advisories plus official sports-wagering material; no state online sports/casino revenue series found.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://oag.ca.gov/gambling/advisories [200],0,0
Colorado,CO,online_sports_betting,PDF,operator and statewide,3,https://spl.cde.state.co.us/artemis/revserials/rev14111internet/,2026-09-05,monthly,2021-07-01 to 2026-02-28,online,partially_collected,Archive is July 2021-February 2026 with July 2025 absent. Most files only report internet NSBP/tax; GGR/handle appear in four retained summaries. Regulator landing and direct current report downloads returned HTTP 403. No net-to-gross substitution.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://sbg.colorado.gov/sports-betting-0 [403] | https://spl.cde.state.co.us/artemis/revserials/rev14111internet/ [200] | https://sbg.colorado.gov/sports-betting-monthly-proceeds-reports [403] | https://spl.cde.state.co.us/artemis/revserials/rev14111internet/rev14111202602internet.pdf [200],55,55
Colorado,CO,online_casino,none identified,unknown,99,https://spl.cde.state.co.us/artemis/revserials/rev14111internet/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://sbg.colorado.gov/sports-betting-0 [403] | https://spl.cde.state.co.us/artemis/revserials/rev14111internet/ [200] | https://sbg.colorado.gov/sports-betting-monthly-proceeds-reports [403] | https://spl.cde.state.co.us/artemis/revserials/rev14111internet/rev14111202602internet.pdf [200],0,0
Connecticut,CT,online_sports_betting,dashboard/source data,operator and statewide,4,https://portal.ct.gov/dcp/gaming-division/gaming/gaming-revenue-and-statistics,2026-09-05,monthly,2021-10-01 to 2026-07-31,online,collected_and_validated,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://portal.ct.gov/dcp/gaming-division/gaming/gaming-revenue-and-statistics [200],174,58
Connecticut,CT,online_casino,dashboard/source data,operator and statewide,4,https://portal.ct.gov/dcp/gaming-division/gaming/gaming-revenue-and-statistics,2026-09-05,monthly,2021-10-01 to 2026-07-31,online,collected_and_validated,Staging corrects the legacy mapping: printed online Win/(Loss) is gross; Unadjusted Monthly Gaming Revenue is sports win after excise; Total Gross Gaming Revenue is the post-promotion taxable/payment base. Original database retains the older mapping and must be reviewed before comparison.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://portal.ct.gov/dcp/gaming-division/gaming/gaming-revenue-and-statistics [200],223,58
District of Columbia,DC,online_sports_betting,HTML/PDF,operator and districtwide,2,https://dclottery.com/olg/financials,2026-09-05,monthly,2024-07-01 to 2026-07-31,online,partially_collected,Stored official history starts July 2024; earlier GambetDC operator history is not represented. Complete-market comparisons across the transition are not supported.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://dclottery.com/olg/financials [200],62,25
District of Columbia,DC,online_casino,none identified,unknown,99,https://dclottery.com/olg/financials,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://dclottery.com/olg/financials [200],0,0
Delaware,DE,online_sports_betting,HTML/PDF,licensee and statewide,2,https://delottery.com/Sports-Lottery/Monthly-Net-Proceeds,2026-09-05,accounting periods,none identified,mobile and retail combined,combined_reporting_only,Official lottery sportsbook tables group casino licensees and retailers without an isolated online column. Accounting periods can end before calendar month-end; sales/net proceeds are not automatically calendar-month GGR.,Obtain separately labeled online activity and exact period dates before upsert.,data/staging/gaming_nationwide.sqlite,https://delottery.com/Sports-Lottery/Monthly-Net-Proceeds [200] | https://www.delottery.com/More/iGaming/Monthly-Net-Proceeds [200],0,0
Delaware,DE,online_casino,HTML/PDF,licensee and statewide,2,https://www.delottery.com/More/iGaming/Monthly-Net-Proceeds,2026-09-05,monthly,2013-11-01 to 2026-07-31,online,collected_and_validated,Casino Played/Won/Net and later Total Net Gaming Revenue labels need period-specific review; vendor/operator transitions must not be treated as a constant revenue definition.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://delottery.com/Sports-Lottery/Monthly-Net-Proceeds [200] | https://www.delottery.com/More/iGaming/Monthly-Net-Proceeds [200],612,153
