state_code,vertical,storage_column,source_label,definition,units,reporting_frequency,timing_basis,promotions_and_deductions,channel,reporting_granularity,definition_applies_from,definition_applies_to,evidence_period,source_url,source_file,limitations
AK,online_sports_betting,none,no collected metric,The state gaming guide covers charitable gaming. Its direct download returned HTTP 403; indexed official guidance and the DOR overview did not identify a public online-revenue series. Current launch status is not established by this check.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/FinancialManagement/Gaming.aspx?lv=true,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
AK,online_casino,none,no collected metric,The state gaming guide covers charitable gaming. Its direct download returned HTTP 403; indexed official guidance and the DOR overview did not identify a public online-revenue series. Current launch status is not established by this check.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/FinancialManagement/Gaming.aspx?lv=true,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
AL,online_sports_betting,none,no collected metric,"Reviewed the current official gambling-code entry and source search; no official online sports/casino revenue archive identified. This is a source finding, not a new legal determination.",not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://alison.legislature.state.al.us/code-of-alabama?section=13A-12-21,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
AL,online_casino,none,no collected metric,"Reviewed the current official gambling-code entry and source search; no official online sports/casino revenue archive identified. This is a source finding, not a new legal determination.",not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://alison.legislature.state.al.us/code-of-alabama?section=13A-12-21,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
AR,online_sports_betting,none,no collected metric,"Checked DFA Casino Gaming Section, FAQ, tax descriptions and site report search. Public tax collections are combined casino receipts; no downloadable mobile activity archive found. Mobile reports are known to be reported to DFA; absence from these pages is not proof they do not exist.",not applicable,none identified,unknown,unknown,online series not located,unknown,unknown,unknown,none,https://www.dfa.arkansas.gov/office/taxes/field-audit-administration/casino-gaming-section/,unknown,No observations fabricated. Obtain the DFA monthly mobile activity report or its public archive URL; do not treat aggregate casino taxes as online GGR.
AR,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://www.dfa.arkansas.gov/office/taxes/field-audit-administration/casino-gaming-section/,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
AZ,online_sports_betting,none,no collected metric,"Landing returned 200, but June/May 2026 and December 2025 event-wagering PDF downloads returned HTTP 403. No PDF bytes available for a validated parser. Native adjusted columns must not be relabeled GGR.",not applicable,monthly,unknown,unknown,mobile separate from retail,unknown,unknown,unknown,none,https://gaming.az.gov/resources/reports,unknown,"No observations fabricated. Save an official report manually if accessible, then inspect and implement its mobile columns before staging. Keep TLS/access controls intact."
AZ,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://gaming.az.gov/resources/reports,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
CA,online_sports_betting,none,no collected metric,Reviewed DOJ gambling oversight and illegal-internet-gambling advisories plus official sports-wagering material; no state online sports/casino revenue series found.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://oag.ca.gov/gambling/advisories,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
CA,online_casino,none,no collected metric,Reviewed DOJ gambling oversight and illegal-internet-gambling advisories plus official sports-wagering material; no state online sports/casino revenue series found.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://oag.ca.gov/gambling/advisories,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
